标题,源文件相对路径,层级,祖先路径,一级,二级
[Sand] 沙民,5 环境和社会\Sand沙暴之书\2种族\沙民.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[Sand] 荒漠地精,5 环境和社会\Sand沙暴之书\2种族\荒漠地精.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[Storm] 虎鲸人,5 环境和社会\Storm风暴之书\2海之民\虎鲸人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[Storm] 翼猩猩,5 环境和社会\Storm风暴之书\2海之民\翼猩猩.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[RotW] 枭人,6 种族书\RotW荒野族裔\3枭人\枭人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[RotW] 麒灵,6 种族书\RotW荒野族裔\4其他种族\麒灵.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[RotD] 龙裔,6 种族书\RotD龙之族裔\第一章\种族特征.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[RotD] 法鳞,6 种族书\RotD龙之族裔\第二章\种族特征.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[RotD] 狗头人,6 种族书\RotD龙之族裔\第三章\种族特征.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
额外特性与武器,6 种族书\RotD龙之族裔\第三章\额外特性与武器.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+0 / [RotD] 狗头人,速查(内容不完全),种族(含亚种和血统)
[MM3] 天狗,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Kenku 天狗.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[MM3] 半兽化人,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Shifter 半兽化人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[MM3] 半变形怪,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Changeling 半变形怪.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
[MM3] 战俑/机关人(中小型),1 核心补充书籍\MM3怪物图鉴3\玩家可选\Warforged 机关人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+0,速查(内容不完全),种族(含亚种和血统)
LA+1,,3,速查(内容不完全) / 种族(含亚种和血统),速查(内容不完全),种族(含亚种和血统)
矮人亚种,,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[XPH] 灰矮人,1 核心补充书籍\XPH扩展灵能手册\1种族\灰矮人.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 矮人亚种,速查(内容不完全),种族(含亚种和血统)
侏儒亚种,,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[RoS] 混沌侏儒,6 种族书\RoS石之族裔\4其他种族\混沌侏儒.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 侏儒亚种,速查(内容不完全),种族(含亚种和血统)
人类亚种/血统,,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[RoD] 萨拉金人,6 种族书\RoD天命族裔\5其他种族\萨拉金人.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 人类亚种/血统,速查(内容不完全),种族(含亚种和血统)
巨人亚种/血统,,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[XPH] 半巨人,1 核心补充书籍\XPH扩展灵能手册\1种族\半巨人.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 巨人亚种/血统,速查(内容不完全),种族(含亚种和血统)
位面生物后裔,,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
阿斯莫,,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔,速查(内容不完全),种族(含亚种和血统)
[PlH] 阿斯莫,4 阵营和位面\PlH位面手册\1种族\阿斯莫.htm,6,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔 / 阿斯莫,速查(内容不完全),种族(含亚种和血统)
[RoD] 阿斯莫,6 种族书\RoD天命族裔\5其他种族\阿斯莫.htm,6,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔 / 阿斯莫,速查(内容不完全),种族(含亚种和血统)
提夫林,,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔,速查(内容不完全),种族(含亚种和血统)
[PlH] 提夫林,4 阵营和位面\PlH位面手册\1种族\提夫林.htm,6,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔 / 提夫林,速查(内容不完全),种族(含亚种和血统)
[RoD] 提夫林,6 种族书\RoD天命族裔\5其他种族\提夫林.htm,6,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔 / 提夫林,速查(内容不完全),种族(含亚种和血统)
[PlH] 迅影裔,4 阵营和位面\PlH位面手册\1种族\迅影裔.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔,速查(内容不完全),种族(含亚种和血统)
[PlH] 魔蝠人,4 阵营和位面\PlH位面手册\1种族\魔蝠人.htm,5,速查(内容不完全) / 种族(含亚种和血统) / LA+1 / 位面生物后裔,速查(内容不完全),种族(含亚种和血统)
[XPH] 蠹灵,1 核心补充书籍\XPH扩展灵能手册\1种族\蠹灵.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[PlH] 蛮獾族,4 阵营和位面\PlH位面手册\1种族\蛮獾族.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[RotW] 猫人,6 种族书\RotW荒野族裔\4其他种族\猫人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[MM3] 毒暮蜥人,"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Lizardfolk,Poison Dusk 毒暮蜥人族.htm",4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
[MM3] 林仆地精,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Forestkith Goblin 林仆地精.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+1,速查(内容不完全),种族(含亚种和血统)
LA+2,,3,速查(内容不完全) / 种族(含亚种和血统),速查(内容不完全),种族(含亚种和血统)
[XPH] 吉斯洋基人,1 核心补充书籍\XPH扩展灵能手册\1种族\吉斯洋基人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+2,速查(内容不完全),种族(含亚种和血统)
[XPH] 吉斯泽莱人,1 核心补充书籍\XPH扩展灵能手册\1种族\吉斯泽莱人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+2,速查(内容不完全),种族(含亚种和血统)
[RoD] 半食人魔,6 种族书\RoD天命族裔\5其他种族\半食人魔.htm,4,速查(内容不完全) / 种族(含亚种和血统) / LA+2,速查(内容不完全),种族(含亚种和血统)
[DotU] 卓尔/黑暗精灵,6 种族书\DotU幽域卓尔\附录.html,4,速查(内容不完全) / 种族(含亚种和血统) / LA+2,速查(内容不完全),种族(含亚种和血统)
有种族HD,,3,速查(内容不完全) / 种族(含亚种和血统),速查(内容不完全),种族(含亚种和血统)
人类亚种/血统,,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[RoD] 堕民,6 种族书\RoD天命族裔\5其他种族\堕民.htm,5,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD / 人类亚种/血统,速查(内容不完全),种族(含亚种和血统)
[XPH] 螳螂人,1 核心补充书籍\XPH扩展灵能手册\1种族\螳螂人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[PlH] 半人羊,4 阵营和位面\PlH位面手册\1种族\半人羊.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[PlH] 链魔,4 阵营和位面\PlH位面手册\1种族\链魔.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[PlH] 小巨灵,4 阵营和位面\PlH位面手册\1种族\小巨灵.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[PlH] 翼蛇人,4 阵营和位面\PlH位面手册\1种族\翼蛇人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[PlH] 鹏羽天使,4 阵营和位面\PlH位面手册\1种族\鹏羽天使.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[PlH] 獒首神使,4 阵营和位面\PlH位面手册\1种族\獒首神使.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[RoS] 石之子,6 种族书\RoS石之族裔\4其他种族\石之子.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[RoS] 加尔贡野人,6 种族书\RoS石之族裔\4其他种族\加尔贡野人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[RoD] 变形怪,6 种族书\RoD天命族裔\5其他种族\天命族裔（RoD）.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[RotW] 人马,6 种族书\RotW荒野族裔\4其他种族\人马.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[RotW] 豺狼人,6 种族书\RotW荒野族裔\4其他种族\豺狼人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 巫刃,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Witchknife 巫刃.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 光民,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Lumi 光民.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 沙巨人,"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Giant,sand 沙巨人.htm",4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 龙兽人,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Dracotaur 龙兽人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 山羊人,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Gotafolk(IBIXIAN) 山羊人（伊比西安）.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 豺狼人,"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Gnoll,Flind 弗林得，豺狼人.htm",4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 夸拉芬,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Quaraphon 夸拉芬.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 尖刺猎人,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Harssafs 尖刺猎人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 阿曼德人,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Armand 阿曼德人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 水晶巨魔,"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Troll,Crystalline 水晶巨魔.htm",4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 尼克特蝠人,1 核心补充书籍\MM3怪物图鉴3\玩家可选\Nycter 尼克特蝠人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 碎颅食人魔,"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Ogre,Skullcrusher 碎颅食人魔.htm",4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 纳达鲁恩邪兽鬼,"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Rakshasa,Naztharune 纳达鲁恩邪兽鬼.htm",4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
[MM3] 战俑/机关人(大型),1 核心补充书籍\MM3怪物图鉴3\玩家可选\Warforged 机关人.htm,4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统)
基础职业(含替代等级/能力),,2,速查(内容不完全),速查(内容不完全),基础职业(含替代等级/能力)
核心,,3,速查(内容不完全) / 基础职业(含替代等级/能力),速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 野蛮人,0 核心三宝书\PHB玩家手册\3职业\基础职业\野蛮人.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 狂战士之力,1 核心补充书籍\PHB2玩家手册2\职业替代能力\野蛮人.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 图腾野蛮人,7 扩展全新体系\UA破译奥秘\2职业\变体\野蛮人变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 旋风狂暴,7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\狂暴变体：旋风狂暴.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 宿敌、战斗风格,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\野蛮人.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 吟游诗人,0 核心三宝书\PHB玩家手册\3职业\基础职业\吟游诗人.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 百变花招,1 核心补充书籍\PHB2玩家手册2\职业替代能力\吟游诗人.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 吟游贤者,7 扩展全新体系\UA破译奥秘\2职业\变体\吟游贤者.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 神圣吟游诗人,7 扩展全新体系\UA破译奥秘\2职业\变体\神术诗人.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 野蛮吟游诗人,7 扩展全新体系\UA破译奥秘\2职业\变体\野蛮诗人.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 德鲁伊能力,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\吟游诗人.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 牧师,0 核心三宝书\PHB玩家手册\3职业\基础职业\牧师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 自发领域法术,1 核心补充书籍\PHB2玩家手册2\职业替代能力\牧师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 修道牧师,7 扩展全新体系\UA破译奥秘\2职业\变体\牧师变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 圣武士能力,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\牧师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 自发施法,7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\自发神术变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 德鲁伊,0 核心三宝书\PHB玩家手册\3职业\基础职业\德鲁伊.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 自发回春、自然化身,1 核心补充书籍\PHB2玩家手册2\职业替代能力\德鲁伊.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 德鲁伊复仇者,7 扩展全新体系\UA破译奥秘\2职业\变体\德鲁伊变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 武僧与游侠能力,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\德鲁伊.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 自发施法,7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\自发神术变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 荒野形态变体：自然特征,7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\荒野形态变体：自然特征.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 战士,0 核心三宝书\PHB玩家手册\3职业\基础职业\战士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 躲闪攻击、反击、会心一击,1 核心补充书籍\PHB2玩家手册2\职业替代能力\战士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 战士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 暴徒,7 扩展全新体系\UA破译奥秘\2职业\变体\战士变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 战士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 偷袭,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\战士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 战士,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 武僧,0 核心三宝书\PHB玩家手册\3职业\基础职业\武僧.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 乾坤一击,1 核心补充书籍\PHB2玩家手册2\职业替代能力\武僧.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 武僧,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 战斗方式,7 扩展全新体系\UA破译奥秘\2职业\变体\武僧变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 武僧,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 伤害减免,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\武僧.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 武僧,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 圣武士,0 核心三宝书\PHB玩家手册\3职业\基础职业\圣武士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 冲锋痛击,1 核心补充书籍\PHB2玩家手册2\职业替代能力\圣武士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 自由圣武士(混乱善良),7 扩展全新体系\UA破译奥秘\2职业\变体\自由圣武士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力)
